Model name,Average 5-fold test_r2,Average 5-fold test_neg_mean_squared_error,Average 5-fold test_neg_mean_absolute_error,Average 5-fold test_neg_root_mean_squared_error
Linear Regression,0.8545372211357511,-1647139.6237274364,-947.1795856957062,-1282.0580962510976
Decision Tree,0.8264079972697147,-1958163.8616806846,-1078.4161772756681,-1397.5264988023632
Random Forest,0.8979548463485252,-1152864.3319277666,-823.8845440617795,-1072.7255325554045
XGBoost,0.8911133419173136,-1232253.8377006862,-855.0510683536886,-1109.7310530919756
ANN,0.8496650105956082,-1695547.7951204996,-970.1715038583768,-1300.3019188651906
