Model name,Average 5-fold test_r2,Average 5-fold test_neg_mean_squared_error,Average 5-fold test_neg_mean_absolute_error,Average 5-fold test_neg_root_mean_squared_error
Linear Regression,0.8545372211357511,-1647139.6237274362,-947.1795856957064,-1282.0580962510976
Decision Tree,0.8230375949765764,-1997727.0313392724,-1080.8989797441895,-1411.5488062310612
Random Forest,0.9001097021416496,-1128752.6586677693,-813.5748965500898,-1061.5891813355674
XGBoost,0.8910937297926692,-1232473.8454660126,-855.33145400256,-1109.8410413902398
ANN,0.8699483405669566,-1471304.5980085596,-860.8514470760281,-1209.864413830309
